monthly_rent,billing_day,months_in_property,total_previous_payments,previous_late_payments,previous_unpaid_payments,previous_on_time_payments,average_delay_days,last_payment_delay_days,open_issues_count,high_priority_issues_count,contract_uploaded,is_late
6186,1,8,7,0,3,4,1.42,0,2,2,1,1
4167,2,35,34,1,0,33,6.4,13,1,1,1,1
3025,26,2,1,1,0,0,7.93,13,1,1,1,1
4879,5,27,26,7,3,16,1.4,13,2,2,1,1
4538,8,9,8,5,1,2,4.36,16,0,0,1,1
4586,10,14,13,7,1,5,5.48,1,4,0,1,1
4102,17,24,23,4,3,16,3.32,0,0,0,1,1
3667,15,20,19,5,3,11,5.64,11,4,0,1,1
6448,14,45,44,3,1,40,8.98,14,5,3,1,1
3661,20,46,45,0,3,42,0.32,0,2,1,1,0
6200,21,28,27,2,3,22,3.42,12,5,2,1,1
3969,3,7,6,5,0,1,10.63,7,0,0,0,1
6917,6,45,44,2,2,40,9.84,11,4,3,1,1
4757,25,3,2,1,0,1,4.68,11,4,2,1,0
6294,2,34,33,5,0,28,6.38,6,4,3,1,0
4679,22,36,35,6,2,27,10.2,20,2,0,0,0
5956,27,32,31,7,3,21,8.72,5,2,0,1,1
4144,22,45,44,1,1,42,3.21,20,5,3,1,0
6811,20,46,45,7,1,37,9.21,13,0,0,0,1
5572,9,28,27,7,1,19,3.37,15,5,2,1,1
3290,26,28,27,3,0,24,11.23,17,2,1,1,1
3178,18,38,37,3,2,32,7.72,11,2,2,0,0
6516,22,3,2,1,0,1,4.39,1,4,3,0,1
6052,2,43,42,0,0,42,0.78,0,4,1,1,0
6937,18,12,11,4,0,7,6.19,16,0,0,0,1
5774,23,15,14,7,2,5,6.18,7,1,1,1,1
6300,3,1,0,0,0,0,1.09,0,3,0,1,0
4918,25,29,28,0,2,26,1.15,1,5,0,1,0
4896,16,44,43,0,2,41,0.44,0,4,1,0,0
3406,25,41,40,0,0,40,0.65,1,2,2,1,0
6513,16,16,15,6,0,9,9.53,9,1,1,1,1
4977,20,9,8,3,2,3,5.69,10,4,0,1,1
4539,10,8,7,0,1,6,0.92,0,3,1,1,0
3202,27,22,21,2,0,19,5.55,2,1,0,1,0
5636,26,19,18,4,3,11,6.38,8,4,3,1,1
6317,3,1,0,0,0,0,0.11,1,0,0,1,0
5719,15,15,14,0,2,12,0.5,1,4,0,1,0
4448,5,6,5,1,2,2,6.34,7,0,0,1,0
3101,16,7,6,1,0,5,1.83,6,1,1,1,0
3044,6,26,25,0,2,23,0.04,0,2,0,1,0
3002,3,36,35,6,3,26,6.81,6,3,2,1,1
3152,22,37,36,4,1,31,11.36,13,2,2,1,1
4855,7,38,37,0,2,35,0.89,0,2,2,0,0
6118,26,44,43,0,2,41,0.8,0,3,3,0,1
3203,27,18,17,2,3,12,3.19,17,3,0,1,1
3168,20,1,0,0,0,0,1.23,0,4,0,0,0
6358,23,38,37,4,1,32,11.59,10,5,0,1,1
4662,12,24,23,7,1,15,10.36,17,3,1,1,1
3128,23,38,37,0,0,37,0.96,0,0,0,0,0
4495,16,31,30,4,0,26,5.13,13,1,0,0,1
6897,4,34,33,6,1,26,8.22,12,1,0,1,1
3147,27,31,30,3,2,25,11.03,15,5,2,1,1
6240,23,45,44,4,0,40,10.74,1,0,0,1,1
6025,28,40,39,1,1,37,2.82,14,4,1,0,1
3202,1,38,37,5,1,31,1.46,9,3,2,1,1
4343,10,32,31,6,0,25,6.46,19,0,0,0,1
4457,6,5,4,1,0,3,9.54,4,1,1,1,0
3588,19,10,9,6,1,2,6.15,14,2,2,0,1
5458,2,48,47,7,2,38,6.43,3,4,3,1,1
4663,15,6,5,1,1,3,11.39,11,4,1,1,1
4925,14,38,37,6,0,31,5.34,18,3,2,1,1
6685,26,34,33,3,1,29,9.56,0,4,2,1,1
6773,4,28,27,1,2,24,8.33,15,1,0,1,1
5227,17,12,11,0,1,10,0.12,0,1,1,1,0
3740,19,43,42,4,2,36,9.55,15,0,0,1,1
3702,2,17,16,5,2,9,10.74,0,4,2,1,1
5221,4,48,47,3,3,41,3.2,11,2,0,1,1
5469,7,20,19,3,0,16,5.5,7,3,1,1,0
3752,27,30,29,5,0,24,2.79,5,1,0,1,1
6223,12,1,0,0,0,0,0.76,1,5,1,1,0
4194,25,40,39,4,0,35,1.72,1,5,1,0,0
6775,12,12,11,6,0,5,3.19,4,5,0,1,0
5262,4,15,14,2,2,10,4.37,9,0,0,1,0
6908,3,26,25,5,1,19,3.36,0,4,1,1,1
5354,11,19,18,1,2,15,8.38,7,4,0,1,0
5018,1,34,33,1,0,32,6.89,13,3,0,1,1
4883,13,18,17,0,2,15,0.41,0,3,1,1,0
4447,26,33,32,5,2,25,2.22,3,0,0,1,1
